nominees,details,award_show,year,award,winner,ref_year
1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, Callum McDougall",Academy Awards,2020,Best Motion Picture of the Year,1,1
Ford v Ferrari,"Peter Chernin, Jenno Topping, James Mangold",Academy Awards,2020,Best Motion Picture of the Year,0,1
Jojo Rabbit,"Carthew Neal, Taika Waititi",Academy Awards,2020,Best Motion Picture of the Year,0,1
Joker,"Todd Phillips, Bradley Cooper, Emma Tillinger Koskoff",Academy Awards,2020,Best Motion Picture of the Year,0,1
Little Women,Amy Pascal,Academy Awards,2020,Best Motion Picture of the Year,0,1
Marriage Story,"Noah Baumbach, David Heyman",Academy Awards,2020,Best Motion Picture of the Year,0,1
Once Upon a Time... in Hollywood,"David Heyman, Shannon McIntosh, Quentin Tarantino",Academy Awards,2020,Best Motion Picture of the Year,0,1
Parasite,"Sin-ae Kwak, Bong Joon Ho",Academy Awards,2020,Best Motion Picture of the Year,0,1
The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal, Emma Tillinger Koskoff",Academy Awards,2020,Best Motion Picture of the Year,0,1
Adam Driver,Marriage Story,Academy Awards,2020,Best Performance by an Actor in a Leading Role,1,1
Antonio Banderas,Pain and Glory,Academy Awards,2020,Best Performance by an Actor in a Leading Role,0,1
Joaquin Phoenix,Joker,Academy Awards,2020,Best Performance by an Actor in a Leading Role,0,1
Jonathan Pryce,The Two Popes,Academy Awards,2020,Best Performance by an Actor in a Leading Role,0,1
Leonardo DiCaprio,Once Upon a Time... in Hollywood,Academy Awards,2020,Best Performance by an Actor in a Leading Role,0,1
Charlize Theron,Bombshell,Academy Awards,2020,Best Performance by an Actress in a Leading Role,1,1
Cynthia Erivo,Harriet,Academy Awards,2020,Best Performance by an Actress in a Leading Role,0,1
Renée Zellweger,Judy,Academy Awards,2020,Best Performance by an Actress in a Leading Role,0,1
Saoirse Ronan,Little Women,Academy Awards,2020,Best Performance by an Actress in a Leading Role,0,1
Scarlett Johansson,Marriage Story,Academy Awards,2020,Best Performance by an Actress in a Leading Role,0,1
Al Pacino,The Irishman,Academy Awards,2020,Best Performance by an Actor in a Supporting Role,1,1
Anthony Hopkins,The Two Popes,Academy Awards,2020,Best Performance by an Actor in a Supporting Role,0,1
Brad Pitt,Once Upon a Time... in Hollywood,Academy Awards,2020,Best Performance by an Actor in a Supporting Role,0,1
Joe Pesci,The Irishman,Academy Awards,2020,Best Performance by an Actor in a Supporting Role,0,1
Tom Hanks,A Beautiful Day in the Neighborhood,Academy Awards,2020,Best Performance by an Actor in a Supporting Role,0,1
Florence Pugh,Little Women,Academy Awards,2020,Best Performance by an Actress in a Supporting Role,1,1
Kathy Bates,Richard Jewell,Academy Awards,2020,Best Performance by an Actress in a Supporting Role,0,1
Laura Dern,Marriage Story,Academy Awards,2020,Best Performance by an Actress in a Supporting Role,0,1
Margot Robbie,Bombshell,Academy Awards,2020,Best Performance by an Actress in a Supporting Role,0,1
Scarlett Johansson,Jojo Rabbit,Academy Awards,2020,Best Performance by an Actress in a Supporting Role,0,1
Bong Joon Ho,Parasite,Academy Awards,2020,Best Achievement in Directing,1,1
Martin Scorsese,The Irishman,Academy Awards,2020,Best Achievement in Directing,0,1
Quentin Tarantino,Once Upon a Time... in Hollywood,Academy Awards,2020,Best Achievement in Directing,0,1
Sam Mendes,1917,Academy Awards,2020,Best Achievement in Directing,0,1
Todd Phillips,Joker,Academy Awards,2020,Best Achievement in Directing,0,1
1917,"Sam Mendes, Krysty Wilson-Cairns",Academy Awards,2020,Best Original Screenplay,1,1
Knives Out,Rian Johnson,Academy Awards,2020,Best Original Screenplay,0,1
Marriage Story,Noah Baumbach,Academy Awards,2020,Best Original Screenplay,0,1
Once Upon a Time... in Hollywood,Quentin Tarantino,Academy Awards,2020,Best Original Screenplay,0,1
Parasite,"Bong Joon Ho, Jin Won Han",Academy Awards,2020,Best Original Screenplay,0,1
Jojo Rabbit,Taika Waititi,Academy Awards,2020,Best Adapted Screenplay,1,1
Joker,"Todd Phillips, Scott Silver",Academy Awards,2020,Best Adapted Screenplay,0,1
Little Women,Greta Gerwig,Academy Awards,2020,Best Adapted Screenplay,0,1
The Irishman,Steven Zaillian,Academy Awards,2020,Best Adapted Screenplay,0,1
The Two Popes,Anthony McCarten,Academy Awards,2020,Best Adapted Screenplay,0,1
1917,Roger Deakins,Academy Awards,2020,Best Achievement in Cinematography,1,1
Joker,Lawrence Sher,Academy Awards,2020,Best Achievement in Cinematography,0,1
Once Upon a Time... in Hollywood,Robert Richardson,Academy Awards,2020,Best Achievement in Cinematography,0,1
The Irishman,Rodrigo Prieto,Academy Awards,2020,Best Achievement in Cinematography,0,1
The Lighthouse,Jarin Blaschke,Academy Awards,2020,Best Achievement in Cinematography,0,1
"Andrew Buckland, Michael McCusker",Ford v Ferrari,Academy Awards,2020,Best Achievement in Film Editing,1,1
Jeff Groth,Joker,Academy Awards,2020,Best Achievement in Film Editing,0,1
Jinmo Yang,Parasite,Academy Awards,2020,Best Achievement in Film Editing,0,1
Thelma Schoonmaker,The Irishman,Academy Awards,2020,Best Achievement in Film Editing,0,1
Tom Eagles,Jojo Rabbit,Academy Awards,2020,Best Achievement in Film Editing,0,1
1917,"Dennis Gassner, Lee Sandales",Academy Awards,2020,Best Achievement in Production Design,1,1
Jojo Rabbit,"Ra Vincent, Nora Sopková",Academy Awards,2020,Best Achievement in Production Design,0,1
Once Upon a Time... in Hollywood,"Barbara Ling, Nancy Haigh",Academy Awards,2020,Best Achievement in Production Design,0,1
Parasite,"Ha-jun Lee, Won-Woo Cho",Academy Awards,2020,Best Achievement in Production Design,0,1
The Irishman,"Bob Shaw, Regina Graves",Academy Awards,2020,Best Achievement in Production Design,0,1
Jojo Rabbit,Mayes C. Rubeo,Academy Awards,2020,Best Achievement in Costume Design,1,1
Joker,Mark Bridges,Academy Awards,2020,Best Achievement in Costume Design,0,1
Little Women,Jacqueline Durran,Academy Awards,2020,Best Achievement in Costume Design,0,1
Once Upon a Time... in Hollywood,Arianne Phillips,Academy Awards,2020,Best Achievement in Costume Design,0,1
The Irishman,"Christopher Peterson, Sandy Powell",Academy Awards,2020,Best Achievement in Costume Design,0,1
1917,"Naomi Donne, Tristan Versluis, Rebecca Cole",Academy Awards,2020,Best Achievement in Makeup and Hairstyling,1,1
Bombshell,"Kazu Hiro, Anne Morgan, Vivian Baker",Academy Awards,2020,Best Achievement in Makeup and Hairstyling,0,1
Joker,"Nicki Ledermann, Kay Georgiou",Academy Awards,2020,Best Achievement in Makeup and Hairstyling,0,1
Judy,Jeremy Woodhead,Academy Awards,2020,Best Achievement in Makeup and Hairstyling,0,1
