award_show,award,best_picture,best_actor,best_supporting_actor,best_actress,best_supporting_actress,best_director,best_original_screenplay,best_adapted_screenplay
Academy Awards,Best Motion Picture of the Year,Best Picture,,,,,,,
Academy Awards,Best Performance by an Actor in a Leading Role,,Best Actor,,,,,,
Academy Awards,Best Performance by an Actress in a Leading Role,,,,Best Actress,,,,
Academy Awards,Best Performance by an Actor in a Supporting Role,,,Best Supporting Actor,,,,,
Academy Awards,Best Performance by an Actress in a Supporting Role,,,,,Best Supporting Actress,,,
Academy Awards,Best Achievement in Directing,,,,,,Best Director,,
Academy Awards,Best Original Screenplay,,,,,,,Best Original Screenplay,
Academy Awards,Best Adapted Screenplay,,,,,,,,Best Adapted Screenplay
Academy Awards,Best Achievement in Cinematography,,,,,,,,
Academy Awards,Best Achievement in Film Editing,,,,,,,,
Academy Awards,Best Achievement in Production Design,,,,,,,,
Academy Awards,Best Achievement in Costume Design,,,,,,,,
Academy Awards,Best Achievement in Makeup and Hairstyling,,,,,,,,
Academy Awards,Best Achievement in Music Written for Motion Pictures (Original Score),,,,,,,,
Academy Awards,Best Achievement in Music Written for Motion Pictures (Original Song),,,,,,,,
Academy Awards,Best Achievement in Sound Mixing,,,,,,,,
Academy Awards,Best Achievement in Sound Editing,,,,,,,,
Academy Awards,Best Achievement in Visual Effects,,,,,,,,
Academy Awards,Best Documentary Feature,,,,,,,,
Academy Awards,Best Documentary Short Subject,,,,,,,,
Academy Awards,Best Animated Feature Film,,,,,,,,
Academy Awards,Best Animated Short Film,,,,,,,,
Academy Awards,Best Live Action Short Film,,,,,,,,
Academy Awards,Best International Feature Film,,,,,,,,
Academy Awards,Best Foreign Language Film of the Year,,,,,,,,
Academy Awards,Best Animated Feature Film of the Year,,,,,,,,
Academy Awards,"Best Writing, Original Screenplay",,,,,,,Best Original Screenplay,
Academy Awards,"Best Writing, Adapted Screenplay",,,,,,,,Best Adapted Screenplay
Academy Awards,"Best Achievement in Music Written for Motion Pictures, Original Song",,,,,,,,
Academy Awards,"Best Achievement in Music Written for Motion Pictures, Original Score",,,,,,,,
Academy Awards,"Best Short Film, Animated",,,,,,,,
Academy Awards,"Best Short Film, Live Action",,,,,,,,
Academy Awards,"Best Documentary, Short Subject",,,,,,,,
Academy Awards,"Best Documentary, Feature",,,,,,,,
Academy Awards,"Best Documentary, Short Subjects",,,,,,,,
Academy Awards,"Best Documentary, Features",,,,,,,,
Academy Awards,Best Animated Feature,,,,,,,,
Academy Awards,Best Achievement in Art Direction,,,,,,,,
Academy Awards,Best Achievement in Makeup,,,,,,,,
Academy Awards,Best Picture,Best Picture,,,,,,,
Academy Awards,Best Actor in a Leading Role,,Best Actor,,,,,,
Academy Awards,Best Actress in a Leading Role,,,,Best Actress,,,,
Academy Awards,Best Actor in a Supporting Role,,,Best Supporting Actor,,,,,
Academy Awards,Best Actress in a Supporting Role,,,,,Best Supporting Actress,,,
Academy Awards,Best Foreign Language Film,,,,,,,,
Academy Awards,Best Cinematography,,,,,,,,
Academy Awards,Best Costume Design,,,,,,,,
Academy Awards,Best Sound Editing,,,,,,,,
Academy Awards,Best Sound Mixing,,,,,,,,
Academy Awards,Best Film Editing,,,,,,,,
Academy Awards,Best Makeup,,,,,,,,
Academy Awards,"Best Music, Original Song",,,,,,,,
Academy Awards,"Best Music, Original Score",,,,,,,,
Academy Awards,Best Visual Effects,,,,,,,,
Academy Awards,Best Art Direction-Set Decoration,,,,,,,,
Academy Awards,Best Director,,,,,,Best Director,,
Academy Awards,Best Sound,,,,,,,,
Academy Awards,"Best Writing, Screenplay Written Directly for the Screen",,,,,,,Best Original Screenplay,
Academy Awards,"Best Writing, Screenplay Based on Material Previously Produced or Published",,,,,,,,Best Adapted Screenplay
Academy Awards,"Best Effects, Visual Effects",,,,,,,,
Academy Awards,"Best Effects, Sound Effects Editing",,,,,,,,
Academy Awards,"Best Music, Original Dramatic Score",,,,,,,,
Academy Awards,"Best Music, Original Musical or Comedy Score",,,,,,,,
Golden Globes,Best Motion Picture - Drama,Best Picture,,,,,,,
Golden Globes,Best Motion Picture - Musical or Comedy,,,,,,,,
Golden Globes,Best Motion Picture - Animated,,,,,,,,
Golden Globes,Best Motion Picture - Foreign Language,,,,,,,,
Golden Globes,Best Performance by an Actor in a Motion Picture - Drama,,Best Actor,,,,,,
Golden Globes,Best Performance by an Actress in a Motion Picture - Drama,,,,Best Actress,,,,
Golden Globes,Best Performance by an Actor in a Motion Picture - Musical or Comedy,,Best Actor,,,,,,
Golden Globes,Best Performance by an Actress in a Motion Picture - Musical or Comedy,,,,Best Actress,,,,
Golden Globes,Best Performance by an Actor in a Supporting Role in a Motion Picture,,,Best Supporting Actor,,,,,
Golden Globes,Best Performance by an Actress in a Supporting Role in a Motion Picture,,,,,Best Supporting Actress,,,
Golden Globes,Best Director - Motion Picture,,,,,,Best Director,,
Golden Globes,Best Screenplay - Motion Picture,,,,,,,Best Original Screenplay,
Golden Globes,Best Screenplay - Motion Picture,,,,,,,,Best Adapted Screenplay
Golden Globes,Best Original Song - Motion Picture,,,,,,,,
Golden Globes,Best Original Score - Motion Picture,,,,,,,,
Golden Globes,Best Television Series - Drama,,,,,,,,
Golden Globes,Best Television Series - Musical or Comedy,,,,,,,,
Golden Globes,Best Television Limited Series or Motion Picture Made for Television,,,,,,,,
Golden Globes,Best Performance by an Actor in a Television Series - Drama,,,,,,,,
Golden Globes,Best Performance by an Actress in a Television Series - Drama,,,,,,,,
Golden Globes,Best Performance by an Actor in a Television Series - Musical or Comedy,,,,,,,,
Golden Globes,Best Performance by an Actress in a Television Series - Musical or Comedy,,,,,,,,
Golden Globes,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",,,,,,,,
Golden Globes,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",,,,,,,,
Golden Globes,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,,,,,,,,
Golden Globes,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,,,,,,,,
Golden Globes,Best Performance by an Actor in a Limited Series or Motion Picture Made for Television,,,,,,,,
